stage,relative_path,filename,language,line_count,inferred_purpose,main_flow,inferred_order,reads_upstream,calls_top_level_R_API,defines_local_functions,generates_figures,generates_tables,saves_objects,suspected_debug,suspected_legacy,candidate_level,validation_candidate,rationale,confidence
06,06-lr-pairs/scripts/05-cellchat-stage-compare-LRnum.R,05-cellchat-stage-compare-LRnum.R,R,164,compare stage LR counts,prepare -> CellChat/compare -> focus/visualize -> output,05,yes,no,no,yes,yes,no/unclear,no-evidence,no-evidence,primary,no,strong linear/scientific-decision evidence,high
06,06-lr-pairs/scripts/05-cellchat-stage-compare-weight.R,05-cellchat-stage-compare-weight.R,R,187,compare stage interaction weights,prepare -> CellChat/compare -> focus/visualize -> output,05,yes,no,no,yes,yes,no/unclear,no-evidence,no-evidence,holdout,yes,reserved to test generalization,n/a
06,06-lr-pairs/scripts/06-cellchat-lr-focus.R,06-cellchat-lr-focus.R,R,180,focus selected ligand-receptor pairs,prepare -> CellChat/compare -> focus/visualize -> output,06,yes,no,yes,yes,no/unclear,no/unclear,no-evidence,no-evidence,secondary,no,complementary language or boundary evidence,medium-high
06,06-lr-pairs/scripts/07-cellchat-lr-avg-barplot.R,07-cellchat-lr-avg-barplot.R,R,146,plot average LR expression,prepare -> CellChat/compare -> focus/visualize -> output,07,yes,no,no,yes,yes,no/unclear,no-evidence,no-evidence,primary,no,strong linear/scientific-decision evidence,high
07,07-trajectory/scripts/01-trajectory-dr-fdg-dims.R,01-trajectory-dr-fdg-dims.R,R,117,compare FDG dimensions,load -> choose lineage -> model dynamics -> interpret/output,01,yes,no,yes,yes,yes,no/unclear,no-evidence,no-evidence,not-selected,no,limited incremental style evidence; status not deprecated,medium
07,07-trajectory/scripts/01-trajectory-dr-fdg-k.R,01-trajectory-dr-fdg-k.R,R,111,compare FDG k values,load -> choose lineage -> model dynamics -> interpret/output,01,yes,no,yes,yes,yes,no/unclear,no-evidence,no-evidence,not-selected,no,limited incremental style evidence; status not deprecated,medium
07,07-trajectory/scripts/01-trajectory-dr.R,01-trajectory-dr.R,R,147,run trajectory dimensionality reduction,load -> choose lineage -> model dynamics -> interpret/output,01,yes,no,yes,yes,yes,yes,no-evidence,no-evidence,primary,no,strong linear/scientific-decision evidence,high
07,07-trajectory/scripts/02-lineage-picker.R,02-lineage-picker.R,R,38,inspect candidate lineages,load -> choose lineage -> model dynamics -> interpret/output,02,yes,no,no,no/unclear,no/unclear,no/unclear,no-evidence,no-evidence,secondary,no,complementary language or boundary evidence,medium-high
07,07-trajectory/scripts/03-lineage-mst.R,03-lineage-mst.R,R,159,construct lineage MST,load -> choose lineage -> model dynamics -> interpret/output,03,yes,yes,no,yes,yes,yes,no-evidence,no-evidence,primary,no,strong linear/scientific-decision evidence,high
07,07-trajectory/scripts/04-1-lineage-pcurve-Mega.R,04-1-lineage-pcurve-Mega.R,R,75,fit Mega principal curve,load -> choose lineage -> model dynamics -> interpret/output,04-1,yes,yes,no,yes,no/unclear,yes,no-evidence,no-evidence,not-selected,no,limited incremental style evidence; status not deprecated,medium
07,07-trajectory/scripts/04-2-lineage-pcurve-Ery.R,04-2-lineage-pcurve-Ery.R,R,75,fit Ery principal curve,load -> choose lineage -> model dynamics -> interpret/output,04-2,yes,yes,no,yes,no/unclear,yes,no-evidence,no-evidence,secondary,no,complementary language or boundary evidence,medium-high
07,07-trajectory/scripts/04-3-lineage-pcurve-Mono.R,04-3-lineage-pcurve-Mono.R,R,75,fit Mono principal curve,load -> choose lineage -> model dynamics -> interpret/output,04-3,yes,yes,no,yes,no/unclear,yes,no-evidence,no-evidence,holdout,yes,confirmed branch-generalization test,n/a
07,07-trajectory/scripts/04-4-lineage-pcurve-CLP.R,04-4-lineage-pcurve-CLP.R,R,75,fit CLP principal curve,load -> choose lineage -> model dynamics -> interpret/output,04-4,yes,yes,no,yes,no/unclear,yes,no-evidence,uncertain,not-selected,no,limited incremental style evidence; status not deprecated,medium
07,07-trajectory/scripts/04-4-lineage-pcurve-pDC.R,04-4-lineage-pcurve-pDC.R,R,75,fit pDC principal curve,load -> choose lineage -> model dynamics -> interpret/output,04-4,yes,yes,no,yes,no/unclear,yes,no-evidence,uncertain,not-selected,no,limited incremental style evidence; status not deprecated,medium
07,07-trajectory/scripts/05-1-dynamic-genes-Mega.R,05-1-dynamic-genes-Mega.R,R,180,fit Mega dynamic genes,load -> choose lineage -> model dynamics -> interpret/output,05-1,yes,no,yes,yes,no/unclear,yes,no-evidence,no-evidence,primary,no,strong linear/scientific-decision evidence,high
07,07-trajectory/scripts/05-2-dynamic-genes-Ery.R,05-2-dynamic-genes-Ery.R,R,138,fit Ery dynamic genes,load -> choose lineage -> model dynamics -> interpret/output,05-2,yes,no,yes,yes,no/unclear,yes,no-evidence,no-evidence,holdout,yes,reserved to test generalization,n/a
07,07-trajectory/scripts/06-nmf-imputation.R,06-nmf-imputation.R,R,78,run NMF-based imputation,load -> choose lineage -> model dynamics -> interpret/output,06,yes,no,no,yes,no/unclear,yes,no-evidence,no-evidence,secondary,no,complementary language or boundary evidence,medium-high
07,07-trajectory/scripts/07-1-dynamic-module-Ery.R,07-1-dynamic-module-Ery.R,R,294,derive Ery dynamic modules,load -> choose lineage -> model dynamics -> interpret/output,07-1,yes,yes,yes,yes,yes,yes,no-evidence,no-evidence,primary,no,strong linear/scientific-decision evidence,high
07,07-trajectory/scripts/07-2-dynamic-module-Mega.R,07-2-dynamic-module-Mega.R,R,277,derive Mega dynamic modules,load -> choose lineage -> model dynamics -> interpret/output,07-2,yes,yes,yes,yes,yes,yes,no-evidence,no-evidence,holdout,yes,reserved to test generalization,n/a
07,07-trajectory/scripts/08-1-gene-module-function-Ery.R,08-1-gene-module-function-Ery.R,R,78,interpret Ery module functions,load -> choose lineage -> model dynamics -> interpret/output,08-1,yes,no,yes,yes,yes,yes,no-evidence,no-evidence,secondary,no,complementary language or boundary evidence,medium-high
07,07-trajectory/scripts/08-2-gene-module-function-Mega.R,08-2-gene-module-function-Mega.R,R,78,interpret Mega module functions,load -> choose lineage -> model dynamics -> interpret/output,08-2,yes,no,yes,yes,yes,yes,no-evidence,no-evidence,not-selected,no,limited incremental style evidence; status not deprecated,medium
07,07-trajectory/scripts/09-1-gene-module-regulators-Ery.R,09-1-gene-module-regulators-Ery.R,R,119,identify Ery module regulators,load -> choose lineage -> model dynamics -> interpret/output,09-1,yes,no,yes,yes,yes,yes,no-evidence,no-evidence,secondary,no,complementary language or boundary evidence,medium-high
07,07-trajectory/scripts/09-2-gene-module-regulators-Mega.R,09-2-gene-module-regulators-Mega.R,R,119,identify Mega module regulators,load -> choose lineage -> model dynamics -> interpret/output,09-2,yes,no,yes,yes,yes,yes,no-evidence,no-evidence,not-selected,no,limited incremental style evidence; status not deprecated,medium
